,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_PrePole
160,6966,-94.89445302,29.23778769,,,2,118.0097967,POINT (-10563602.18929262 3405946.0323582557),0.04
161,6967,-94.89433209,29.23754617,,,2,134.2984941,POINT (-10563588.7274266 3405915.2211646335),0.04
162,6968,-94.89492501,29.23740471,,,2,114.0439745,POINT (-10563654.73097908 3405897.1748608234),0.04
163,6970,-94.89547172,29.23696427,,,2,119.0674813,POINT (-10563715.590457892 3405840.987306332),0.04
164,6972,-94.89564077,29.23647074,,,2,76.55219124,POINT (-10563734.40901781 3405778.027272588),0.04
165,6973,-94.89598862,29.23655292,,,2,109.4986346,POINT (-10563773.131502684 3405788.511022668),0.04
166,6975,-94.89644988,29.23618584,,,2,108.4906444,POINT (-10563824.478731008 3405741.682480149),0.04
167,6976,-94.89624797,29.23600237,,,2,77.91859311,POINT (-10563802.002212621 3405718.2772017564),0.04
168,6978,-94.89695777,29.23578037,,,2,122.8951481,POINT (-10563881.016787186 3405689.956705149),0.04
169,6980,-94.89754772,29.23531328,,,2,124.3931305,POINT (-10563946.68972078 3405630.370325697),0.04
170,6983,-94.89806891,29.23488439,,,2,119.7892969,POINT (-10564004.708326187 3405575.6573358113),0.04
171,6986,-94.89861774,29.23444982,,,2,122.1668152,POINT (-10564065.803802319 3405520.2199888392),0.04
172,6989,-94.89916022,29.23401264,,,2,118.2954843,POINT (-10564126.192399682 3405464.449926109),0.04
173,6991,-94.89967444,29.23360193,,,2,128.3038541,POINT (-10564183.435108239 3405412.056798309),0.04
174,6992,-94.89972791,29.23316355,,,2,79.06517063,POINT (-10564189.387361413 3405356.134117781),0.04
175,6993,-94.9003065,29.23312343,,,2,144.1478324,POINT (-10564253.79570559 3405351.0161545984),0.04
176,6995,-94.90048569,29.23266989,,,2,88.00245707,POINT (-10564273.743045146 3405293.159837916),0.04
177,6996,-94.90092211,29.23273219,,,2,140.1859621,POINT (-10564322.325097317 3405301.10718907),0.04
178,6998,-94.90124625,29.23215337,,,2,84.54841105,POINT (-10564358.408197062 3405227.269722118),0.04
179,6999,-94.90155984,29.23232867,,,2,143.9384491,POINT (-10564393.31687618 3405249.631911485),0.04
180,7001,-94.90196674,29.23167653,,,2,84.25501714,POINT (-10564438.612776985 3405166.4416991984),0.04
181,7002,-94.90220901,29.23191831,,,2,143.6503311,POINT (-10564465.58215002 3405197.2842931477),0.04
182,7004,-94.902785,29.23156741,,,2,126.8793002,POINT (-10564529.701063521 3405152.521862633),0.04
183,7005,-94.90285908,29.23118133,,,2,90.3931337,POINT (-10564537.947611399 3405103.271885502),0.04
184,7006,-94.90334348,29.23121973,,,2,131.4310494,POINT (-10564591.87077274 3405108.1703415504),0.04
185,7008,-94.90363183,29.23073191,,,2,90.66068214,POINT (-10564623.969747908 3405045.9422273627),0.04
186,7009,-94.9039391,29.23086634,,,2,145.7414572,POINT (-10564658.174887845 3405063.090583219),0.04
187,7011,-94.90436766,29.23030559,,,2,86.38122323,POINT (-10564705.88196882 3404991.559522239),0.04
188,7012,-94.90464675,29.23045068,,,2,155.5403822,POINT (-10564736.950125504 3405010.0676284744),0.04
189,7014,-94.90519276,29.22978493,,,2,130.3152831,POINT (-10564797.731680674 3404925.142820433),0.04
190,7015,-94.90533004,29.23005693,,,2,153.7359114,POINT (-10564813.01362037 3404959.8397838166),0.04
191,7016,-94.90593829,29.22933575,,,2,141.5026695,POINT (-10564880.723700644 3404867.844558932),0.04
192,7017,-94.90602159,29.22965935,,,2,144.6872002,POINT (-10564889.996614227 3404909.123569688),0.04
193,7018,-94.90672375,29.22885424,,,2,74.31877132,POINT (-10564968.160707884 3404806.42249982),0.04
194,7020,-94.90662388,29.22929563,,,2,132.4855751,POINT (-10564957.043230336 3404862.726787083),0.04
195,7021,-94.90720631,29.22896074,,,2,130.6759852,POINT (-10565021.87904136 3404820.0077572744),0.04
196,7023,-94.90779248,29.22861727,,,2,134.4480143,POINT (-10565087.131187279 3404776.1943959715),0.04
197,7024,-94.90754897,29.22836857,,,2,87.03480953,POINT (-10565060.023778075 3404744.4700781303),0.04
198,7026,-94.90840857,29.22824669,,,2,132.9969634,POINT (-10565155.714012362 3404728.92302199),0.04
199,7027,-94.90827237,29.2279165,,,2,95.39908202,POINT (-10565140.552297715 3404686.803961146),0.04
200,7028,-94.90898177,29.22791385,,,2,112.9270153,POINT (-10565219.522344485 3404686.4659275),0.04
201,7029,-94.90923524,29.22732697,,,2,129.0469732,POINT (-10565247.738495816 3404611.60380841),0.04
