,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_Pole_VS,Pf_Pole_S,Pf_Pole_M
14816,15170,-94.80810018,29.28583489,4,40,1,18.9261936,POINT (-10553989.435115267 3412076.9575599544),0.003762646,0.004570425,0.007878475
14817,15171,-94.80709745,29.28591497,4,40,1,8.298792401,POINT (-10553877.811722266 3412087.1783443224),0.003435584,0.004192941,0.007145979
14818,15172,-94.80727526,29.28643809,4,40,1,16.85388767,POINT (-10553897.605440922 3412153.945483475),0.003696462,0.004494052,0.007729711
14819,15173,-94.80756841,29.28729071,4,40,1,18.93537821,POINT (-10553930.23874965 3412262.768280357),0.017530115,0.021274149,0.036636853
14820,15174,-94.81747206,29.28388367,3,45,1,4.822366357,POINT (-10555032.708024643 3411827.921588306),0.01327287,0.015469024,0.026363266
14821,15175,-94.81753265,29.29182577,4,40,1,27.47534157,POINT (-10555039.452872591 3412841.608711592),0.017040215,0.020842913,0.035722415
14822,15176,-94.81730465,29.29188304,4,40,1,29.24455742,POINT (-10555014.07202869 3412848.918634005),0.017283642,0.021135398,0.036270505
14823,15177,-94.81700908,29.29196113,4,40,1,16.50963378,POINT (-10554981.169326797 3412858.8860204113),0.015607009,0.019123689,0.032508608
14824,15178,-94.81675721,29.29164276,4,40,1,6.998777157,POINT (-10554953.13128665 3412818.2494078185),0.014463171,0.017754893,0.029961053
14825,15179,-94.81671434,29.29171527,4,40,1,2.418257808,POINT (-10554948.35902008 3412827.504542513),0.013942993,0.017133323,0.028808049
14826,15180,-94.81565508,29.29690212,4,40,1,35.37569547,POINT (-10554830.442736262 3413489.5681404886),0.017849036,0.02187725,0.037366777
14827,15181,-94.81532482,29.29698639,4,40,1,33.68536583,POINT (-10554793.678361233 3413500.3248693943),0.018035709,0.022119457,0.037892826
14828,15183,-94.8145033,29.29720517,4,40,1,39.48068225,POINT (-10554702.227173157 3413528.2513039736),0.018862659,0.023121332,0.03975991
14829,15185,-94.81362836,29.29725111,4,40,1,6.918220448,POINT (-10554604.829297882 3413534.115377782),0.01466754,0.018056743,0.030361016
14830,15186,-94.81374563,29.29759369,4,40,1,6.500853224,POINT (-10554617.883734567 3413577.8445512005),0.014620408,0.018000086,0.030256548
14831,15187,-94.80528712,29.30046194,4,40,1,15.51921203,POINT (-10553676.286708498 3413943.9726781994),0.021861233,0.027004358,0.044997183
14832,15188,-94.8137857,29.29833566,4,40,1,29.53252757,POINT (-10554622.344306562 3413672.555004559),0.016663354,0.020454328,0.034894013
14833,15189,-94.81344133,29.29842806,4,40,1,42.41664072,POINT (-10554584.009213518 3413684.349661548),0.018022938,0.022074389,0.037890704
14834,15190,-94.81302633,29.29854001,4,40,1,45.03332261,POINT (-10554537.81162484 3413698.6398473834),0.018387471,0.022516365,0.038713566
14835,15191,-94.8126351,29.29863834,4,40,1,42.60799559,POINT (-10554494.260100456 3413711.191481328),0.018661653,0.022934187,0.040016614
14836,15192,-94.81226351,29.29873574,4,40,1,42.59352242,POINT (-10554452.894890873 3413723.6244144905),0.018605897,0.022851536,0.039630904
14837,15193,-94.81187254,29.29883663,4,40,1,32.24528525,POINT (-10554409.372309556 3413736.502852323),0.017195368,0.021137726,0.036413763
14838,15194,-94.81168622,29.29888548,4,40,1,18.6536837,POINT (-10554388.631262032 3413742.7384767598),0.015505897,0.019092074,0.032587745
14839,15195,-94.81153858,29.29892131,4,40,1,12.67671241,POINT (-10554372.196052412 3413747.3121208986),0.015449042,0.019055941,0.032378899
14840,15196,-94.81145927,29.29894381,4,40,1,24.48435241,POINT (-10554363.367303599 3413750.1842119545),0.016893812,0.020805782,0.035637762
14841,15197,-94.81110025,29.29904173,4,40,1,39.88530503,POINT (-10554323.401380012 3413762.6835595993),0.018986278,0.023349829,0.040396095
14842,15198,-94.81074521,29.29913553,4,40,1,41.17253129,POINT (-10554283.878508 3413774.6570063927),0.019172637,0.023576981,0.040821881
14843,15199,-94.81036315,29.29924381,4,40,1,41.23748755,POINT (-10554241.34778335 3413788.478819843),0.020793972,0.025601761,0.044190403
14844,15200,-94.81017417,29.2991617,5,30,1,22.98372612,POINT (-10554220.310625978 3413777.99757448),0.02357397,0.027096704,0.045053864
14845,15201,-94.81000693,29.29932984,5,30,1,34.96978478,POINT (-10554201.69355434 3413799.4604576575),0.025908218,0.030064129,0.050411102
14846,15202,-94.80973708,29.29940178,4,40,1,23.20699017,POINT (-10554171.653989749 3413808.6435290924),0.01814035,0.022366238,0.038172846
14847,15203,-94.80959147,29.29944228,4,40,1,17.92401114,POINT (-10554155.444758693 3413813.8133177767),0.01742978,0.021502907,0.036572324
