FID,FID_Road_n,NAME,x_start,y_start,x_end,y_end,xy_start,xy_end,start_node,end_node,StartNode2,EndNode2,length,NEAR_FID,NEAR_DIST,ORIG_FID,NEAR_X,NEAR_Y,water_dist,Lon,Lat
96,47,IH 45,3267369.79724,13687308.0629,3269248.76024,13685736.2035,"3267369.79724,13687308.0629","3269248.76024,13685736.2035",71,67,72,68,2449.74367369,125,32055.7924748,96,3283204.5237,13658137.1811,9770.60554632,-94.92004,29.31989
97,38,GULF,3266533.59539,13687906.7851,3267110.83462,13687412.6448,"3266533.59539,13687906.7851","3267110.83462,13687412.6448",72,73,73,74,759.855121689,125,33763.2943378,97,3283204.5237,13658137.1811,10291.0521142,-94.92458,29.32316
98,38,GULF,3267110.83462,13687412.6448,3269857.28232,13685091.4666,"3267110.83462,13687412.6448","3269857.28232,13685091.4666",73,65,74,66,3595.9629971,125,31735.5147097,98,3283204.5237,13658137.1811,9672.98488352,-94.91952,29.31913
99,0,,3267185.40741,13687462.3155,3266533.59539,13687906.7851,"3267185.40741,13687462.3155","3266533.59539,13687906.7851",70,72,71,73,788.930995449,125,33766.9480975,99,3283204.5237,13658137.1811,10292.1657801,-94.92446,29.32322
100,38,GULF,3266761.93549,13688063.3609,3267305.80407,13687596.3104,"3266761.93549,13688063.3609","3267305.80407,13687596.3104",74,75,75,76,716.888590926,125,33810.4094011,100,3283204.5237,13658137.1811,10305.4127855,-94.9239,29.3236
101,38,GULF,3267305.80407,13687596.3104,3270977.49956,13684443.2189,"3267305.80407,13687596.3104","3270977.49956,13684443.2189",75,158,76,159,4839.76587453,125,31228.2377233,101,3283204.5237,13658137.1811,9518.36685806,-94.91749,29.31843
102,24,BEACH,3317315.94002,13685412.7573,3321961.98224,13688120.1295,"3317315.94002,13685412.7573","3321961.98224,13688120.1295",76,159,77,160,5931.1501041,78,861.277482519,102,3320226.77432,13685569.0082,262.517376672,-94.75898,29.31406
103,47,IH 45,3271531.00338,13683916.5086,3266241.56743,13688373.3829,"3271531.00338,13683916.5086","3266241.56743,13688373.3829",64,78,65,79,6916.78111704,125,31455.47381,103,3283204.5237,13658137.1811,9587.62841729,-94.91827,29.3188
104,0,,3266761.93549,13688063.3609,3266241.56743,13688373.3829,"3266761.93549,13688063.3609","3266241.56743,13688373.3829",74,78,75,79,605.719871609,125,34407.2760313,104,3283204.5237,13658137.1811,10487.3377343,-94.92552,29.32472
105,68,TARPON,3315872.79986,13688780.4592,3315177.06897,13688543.2264,"3315872.79986,13688780.4592","3315177.06897,13688543.2264",77,160,78,161,735.065216319,71,5088.97104157,105,3315619.25288,13693749.9397,1551.11837347,-94.77172,29.32116
106,33,FERRY,3315990.49615,13686207.1806,3315872.79986,13688780.4592,"3315990.49615,13686207.1806","3315872.79986,13688780.4592",68,77,69,78,2672.85995802,79,4022.37969883,106,3318854.82383,13684423.3939,1226.0213322,-94.76951,29.31791
107,47,IH 45,3266241.56743,13688373.3829,3265500.91537,13689028.8275,"3266241.56743,13688373.3829","3265500.91537,13689028.8275",78,81,79,82,989.026310048,125,35136.8202073,107,3283204.5237,13658137.1811,10709.7027992,-94.92745,29.32611
108,38,GULF,3264870.84872,13689243.4763,3266533.59539,13687906.7851,"3264870.84872,13689243.4763","3266533.59539,13687906.7851",79,72,80,73,2133.41743044,125,35111.2423913,108,3283204.5237,13658137.1811,10701.9066809,-94.92799,29.32578
109,47,IH 45,3264790.85446,13689415.3034,3267185.40741,13687462.3155,"3264790.85446,13689415.3034","3267185.40741,13687462.3155",80,70,81,71,3091.4530329,125,34861.2830459,109,3283204.5237,13658137.1811,10625.7190724,-94.92705,29.32544
110,0,,3265500.91537,13689028.8275,3264934.25082,13689654.297,"3265500.91537,13689028.8275","3264934.25082,13689654.297",81,82,82,83,843.991035871,125,36017.2658332,110,3283204.5237,13658137.1811,10978.062626,-94.92943,29.32793
111,38,GULF,3264934.25082,13689654.297,3266761.93549,13688063.3609,"3264934.25082,13689654.297","3266761.93549,13688063.3609",82,74,83,75,2423.1196793,125,35285.4832979,111,3283204.5237,13658137.1811,10755.0153092,-94.92751,29.32655
