OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SOIL,AGE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
8081,-95.05241542,29.14396934,five,25,1,Very Stiff,0,46.30396203,1.4617689,31.33008,4.1170441,0.64053569,0.33400389,326.46455,32.61265,2.5667832
8082,-95.05225335,29.14388806,five,25,1,Very Stiff,0,9.059277732,1.4617689,31.33008,4.1170441,0.64053569,0.33400389,326.46455,32.61265,2.5667832
8083,-95.05263941,29.14382601,five,25,1,Very Stiff,0,33.75489155,1.4617689,31.33008,4.1170441,0.64053569,0.33400389,326.46455,32.61265,2.5667832
8084,-95.05257278,29.14371236,five,25,1,Very Stiff,0,3.762931633,1.4617689,31.33008,4.1170441,0.64053569,0.33400389,326.46455,32.61265,2.5667832
8085,-95.05295172,29.14364086,five,25,1,Very Stiff,0,38.75737212,1.5450332,33.400064,4.1040637,0.65976636,0.30939804,330.71346,32.621481,2.5726326
8086,-95.05287526,29.14355363,five,25,1,Very Stiff,0,4.290824653,1.5450332,33.400064,4.1040637,0.65976636,0.30939804,330.71346,32.621481,2.5726326
8087,-95.05325589,29.14348637,five,25,1,Very Stiff,0,38.78991533,1.5450332,33.400064,4.1040637,0.65976636,0.30939804,330.71346,32.621481,2.5726326
8088,-95.05318767,29.14337081,five,25,1,Very Stiff,0,3.851760256,1.5450332,33.400064,4.1040637,0.65976636,0.30939804,330.71346,32.621481,2.5726326
8089,-95.0535765,29.14326938,five,25,1,Very Stiff,0,40.16900252,1.5450332,33.400064,4.1040637,0.65976636,0.30939804,330.71346,32.621481,2.5726326
8090,-95.05348631,29.1431552,five,25,1,Very Stiff,0,5.067548754,1.5450332,33.400064,4.1040637,0.65976636,0.30939804,330.71346,32.621481,2.5726326
8091,-95.05388345,29.14308067,five,25,1,Very Stiff,0,31.04197606,1.5724483,34.784964,4.1140079,0.69078243,0.32953448,328.24999,32.624624,2.5550481
8092,-95.05379338,29.14296965,five,25,1,Very Stiff,0,5.059332477,1.5450332,33.400064,4.1040637,0.65976636,0.30939804,330.71346,32.621481,2.5726326
8093,-95.05404112,29.14298718,five,25,1,Very Stiff,0,17.88867565,1.5724483,34.784964,4.1140079,0.69078243,0.32953448,328.24999,32.624624,2.5550481
8094,-95.05420335,29.14288944,five,25,1,Very Stiff,0,31.25755336,1.5724483,34.784964,4.1140079,0.69078243,0.32953448,328.24999,32.624624,2.5550481
