"guid","LS_0","LS_1","LS_2","DS_0","DS_1","DS_2","DS_3","haz_expose"
"c3f4d0e1-a9b2-4ae2-b5cf-cbbb24b59851","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"e2e9af9e-1466-4ec6-bab8-2deb39169bbb","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"07539ce3-545c-4ca5-8733-542f0b24114b","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"dca22565-4e5d-4cfa-b42f-76af5a2e3a48","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"8be8d164-0000-49fd-bc74-def2357f483c","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"1ea0a5d0-4aee-4e8d-94dc-0f190f3e2e70","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"9fd19104-c6a1-4809-bf0f-5515925e2303","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"a226f2b4-d0ae-45ed-9381-09591de9e2ec","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"047cbdfe-3e5d-4ed1-a6c4-a9009dbc6760","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"7089f44b-36c7-48c3-8d27-8c12c9ee1ede","0.1295606218","0.0","0.0","0.8704393782","0","0","0.1295606218","yes"
"5a01a48d-03bc-484d-bf31-643cd1b07a48","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"45367dea-6919-4baa-a9d0-608d7897fc5d","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"c649e995-8924-4b7a-ba19-e602294bbac6","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"1399f7e0-1f85-4c4b-b83b-28ef874c302d","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"60d35928-aab3-41ba-ada3-b1a4c6c6ec1b","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"460ec7a4-ae66-4e54-9bd0-a5c79fe82ba8","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"19afffb3-b18e-483f-9e23-8ff96fd9d3fa","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"72c426ba-7b75-4140-9b2f-e2f05974cded","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"6d126ee7-432a-45ae-9854-a7000db5eaf9","3.26e-08","0.0","0.0","0.9999999674","0","0","3.26E-8","yes"
"de578f54-2abd-4b6b-899a-e1aff239481c","4.24e-08","0.0","0.0","0.9999999576","0","0","4.24E-8","yes"
"df894515-2745-4be2-a620-9baa1f2461ca","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"d3a1cd18-3a06-4924-ae36-6652a0eb4ee2","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"728fcec0-fecd-4d56-941a-c3057f5492d9","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"a5f9de2e-c7c4-4d7a-9e8d-630f34dbd9a9","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"2452672e-ca81-475f-8f7d-1bd18fe99e29","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"42140990-49f2-4bb5-8802-7946c71e371b","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"961d1524-0ed3-4eeb-9b8c-a86262b86de7","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"00e3aa2d-3f59-4fac-b8d2-f02fe108cf1c","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"f381a8ce-1b4a-49e0-8ed5-f29d6ef37fd7","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"8007cb51-f4a9-478c-9233-e6aa8c5759f0","0.9999999999","0.0","0.0","1E-10","0","0","0.9999999999","yes"
"1ec74bff-2d2a-4cff-abf9-7fe922aef56e","0.9999999999","0.0","0.0","1E-10","0","0","0.9999999999","yes"
"1903f35a-a19c-48b7-a191-0050a52653e9","0.9999999998","0.0","0.0","2E-10","0","0","0.9999999998","yes"
"c03d38ae-677d-4a3f-981b-020f29126fb5","0.9999999999","0.0","0.0","1E-10","0","0","0.9999999999","yes"
"7885d993-240f-4fe6-a3cc-de143e5e7556","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"3b4c6caf-13fb-4057-8212-cbe076dbcc53","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"fddf806d-262b-42e7-9dbb-009c5006ecef","0.9999999999","0.0","0.0","1E-10","0","0","0.9999999999","yes"
